cohort_month,cohort_index,channel,active_customers,total_revenue
2024-04-01,6,Organic,3,155.26000000000002
2024-04-01,7,Google Ads,3,89.22999999999999
2024-04-01,7,Organic,3,154.24
2024-04-01,7,Referral,1,140.02
2024-04-01,8,Google Ads,2,67.87
2024-04-01,8,Organic,3,80.79
2024-04-01,9,Organic,2,102.58
2024-04-01,10,Organic,1,18.38
2024-04-01,12,Organic,1,44.43
2024-04-01,13,Organic,1,19.38
2024-04-01,15,Organic,1,13.2
2024-04-01,16,Organic,1,98.85
2024-04-01,18,Organic,1,6.52
2024-05-01,0,Google Ads,38,1712.61
2024-05-01,0,Meta,25,1779.5099999999998
2024-05-01,0,Organic,54,3424.3
2024-05-01,0,Referral,17,1592.2099999999998
2024-05-01,1,Google Ads,9,353.88
2024-05-01,1,Meta,5,290.75000000000006
2024-05-01,1,Organic,13,802.9699999999998
2024-05-01,1,Referral,2,27.240000000000002
2024-05-01,2,Google Ads,3,165.51
2024-05-01,2,Meta,5,187.17
2024-05-01,2,Organic,14,737.8999999999999
2024-05-01,2,Referral,1,10.93
2024-05-01,3,Google Ads,2,71.25
2024-05-01,3,Meta,7,371.85
2024-05-01,3,Organic,9,301.33000000000004
2024-05-01,3,Referral,1,42.980000000000004
2024-05-01,4,Google Ads,3,166.48
2024-05-01,4,Meta,3,278.23
2024-05-01,4,Organic,5,214.69
2024-05-01,4,Referral,1,17.22
2024-05-01,5,Google Ads,1,36.26
2024-05-01,5,Meta,1,57.0
2024-05-01,5,Organic,7,394.45
2024-05-01,5,Referral,2,71.88
2024-05-01,6,Google Ads,3,161.14999999999998
2024-05-01,6,Organic,5,127.86999999999999
2024-05-01,6,Referral,1,144.89
2024-05-01,7,Google Ads,1,64.65
2024-05-01,7,Meta,2,123.08000000000001
2024-05-01,7,Organic,2,51.980000000000004
2024-05-01,8,Google Ads,2,64.86
2024-05-01,8,Meta,1,77.64
2024-05-01,8,Organic,1,4.7
2024-05-01,10,Organic,1,81.19
2024-05-01,11,Google Ads,1,148.09
2024-05-01,11,Referral,1,14.8
2024-06-01,0,Google Ads,26,1494.84
2024-06-01,0,Meta,24,1509.91
2024-06-01,0,Organic,58,3178.7300000000014
2024-06-01,0,Referral,16,853.2699999999998
2024-06-01,1,Google Ads,4,191.54000000000002
2024-06-01,1,Meta,6,248.40999999999997
2024-06-01,1,Organic,13,870.9000000000001
2024-06-01,1,Referral,2,19.02
2024-06-01,2,Google Ads,1,143.70999999999998
2024-06-01,2,Meta,3,65.58
2024-06-01,2,Organic,8,617.3900000000001
2024-06-01,2,Referral,2,174.03
2024-06-01,3,Google Ads,2,36.31
2024-06-01,3,Meta,2,176.24
2024-06-01,3,Organic,3,93.96000000000001
2024-06-01,4,Google Ads,1,22.8
2024-06-01,4,Meta,2,187.28
2024-06-01,4,Organic,7,326.13
2024-06-01,4,Referral,2,32.28
2024-06-01,5,Google Ads,2,53.91
2024-06-01,5,Meta,1,19.67
2024-06-01,5,Organic,6,440.78000000000003
2024-06-01,6,Meta,1,7.89
2024-06-01,6,Organic,3,209.17
2024-06-01,7,Meta,2,72.64
2024-06-01,7,Organic,1,18.71
2024-06-01,8,Meta,1,16.29
2024-06-01,8,Organic,2,164.88
2024-06-01,9,Meta,2,131.99
2024-06-01,9,Organic,1,30.77
2024-06-01,11,Organic,1,17.45
2024-06-01,12,Meta,3,122.34
2024-06-01,14,Organic,1,120.42999999999999
2024-07-01,0,Google Ads,28,1331.08
2024-07-01,0,Meta,32,1794.32
2024-07-01,0,Organic,43,2782.84
2024-07-01,0,Referral,6,202.07
2024-07-01,1,Google Ads,5,251.26999999999998
2024-07-01,1,Meta,10,501.38000000000005
2024-07-01,1,Organic,7,286.15
2024-07-01,1,Referral,3,86.81
2024-07-01,2,Google Ads,1,16.08
2024-07-01,2,Meta,4,216.88
2024-07-01,2,Organic,7,714.44
2024-07-01,3,Google Ads,1,130.47
2024-07-01,3,Meta,3,79.61
2024-07-01,3,Organic,4,110.31
2024-07-01,4,Meta,3,135.01
2024-07-01,4,Organic,5,258.47
2024-07-01,4,Referral,1,13.47
2024-07-01,5,Google Ads,1,120.64
2024-07-01,5,Meta,1,109.74
2024-07-01,5,Organic,2,216.28
2024-07-01,6,Meta,1,11.92
2024-07-01,6,Organic,1,398.04
2024-07-01,7,Google Ads,1,64.12
2024-07-01,7,Meta,1,18.42
2024-07-01,7,Referral,1,39.63
2024-07-01,8,Meta,1,60.989999999999995
2024-07-01,8,Organic,1,18.3
2024-07-01,9,Organic,2,96.09
2024-07-01,10,Meta,1,12.68
2024-07-01,10,Organic,1,77.57
2024-07-01,11,Organic,1,42.49
2024-07-01,14,Meta,1,47.1
2024-07-01,15,Meta,1,15.06
2024-07-01,15,Organic,1,16.3
2024-07-01,16,Organic,1,31.12
2024-08-01,0,Google Ads,43,2745.35
2024-08-01,0,Meta,31,1580.3999999999996
2024-08-01,0,Organic,62,3743.5699999999993
2024-08-01,0,Referral,14,833.14
2024-08-01,1,Google Ads,11,349.63000000000005
2024-08-01,1,Meta,6,288.39
2024-08-01,1,Organic,18,784.15
2024-08-01,1,Referral,1,217.47
2024-08-01,2,Google Ads,5,381.66999999999996
2024-08-01,2,Meta,9,889.76
2024-08-01,2,Organic,6,147.14999999999998
2024-08-01,2,Referral,1,58.71
2024-08-01,3,Google Ads,3,71.03
2024-08-01,3,Meta,3,61.989999999999995
2024-08-01,3,Organic,9,388.44
2024-08-01,3,Referral,1,38.51
2024-08-01,4,Google Ads,5,185.56
2024-08-01,4,Meta,4,398.18
2024-08-01,4,Organic,6,293.55
2024-08-01,4,Referral,2,99.57
2024-08-01,5,Google Ads,2,85.92
2024-08-01,5,Meta,3,97.19
2024-08-01,5,Organic,3,155.58
2024-08-01,5,Referral,2,87.75999999999999
2024-08-01,6,Google Ads,3,182.61
2024-08-01,6,Meta,2,70.23
2024-08-01,6,Organic,5,223.3
2024-08-01,6,Referral,1,74.84
2024-08-01,7,Google Ads,1,22.13
2024-08-01,7,Meta,4,286.17
2024-08-01,7,Organic,1,20.98
2024-08-01,8,Google Ads,3,213.16
2024-08-01,8,Meta,1,17.35
2024-08-01,9,Google Ads,1,32.56
2024-08-01,9,Meta,1,163.01
2024-08-01,9,Organic,1,18.77
2024-08-01,10,Meta,1,7.83
2024-08-01,10,Organic,1,30.99
2024-08-01,12,Meta,1,279.02
2024-08-01,12,Organic,1,63.36
2024-08-01,13,Meta,1,94.1
2024-08-01,13,Organic,1,247.96
2024-08-01,14,Organic,1,74.05
2024-08-01,15,Google Ads,1,27.79
2024-08-01,16,Google Ads,1,143.21
2024-09-01,0,Google Ads,27,1160.46
2024-09-01,0,Meta,33,2145.11
2024-09-01,0,Organic,49,2542.0200000000004
2024-09-01,0,Referral,6,281.23
2024-09-01,1,Google Ads,2,119.14
2024-09-01,1,Meta,5,195.56
2024-09-01,1,Organic,11,484.69
2024-09-01,1,Referral,1,23.63
2024-09-01,2,Google Ads,3,106.6
2024-09-01,2,Meta,6,495.29999999999995
2024-09-01,2,Organic,5,121.8
2024-09-01,2,Referral,1,16.23
2024-09-01,3,Google Ads,4,239.59
2024-09-01,3,Meta,1,29.369999999999997
2024-09-01,3,Organic,5,322.61
2024-09-01,3,Referral,1,70.02
2024-09-01,4,Google Ads,1,78.83
2024-09-01,4,Meta,1,47.44
2024-09-01,4,Organic,5,121.96000000000001
2024-09-01,4,Referral,1,11.1
2024-09-01,5,Google Ads,2,55.019999999999996
2024-09-01,5,Meta,2,59.79
2024-09-01,5,Organic,4,190.8
2024-09-01,6,Meta,2,37.14
2024-09-01,6,Organic,2,56.93
2024-09-01,7,Google Ads,1,42.76
2024-09-01,7,Organic,1,50.62
2024-09-01,7,Referral,1,17.69
2024-09-01,8,Google Ads,1,64.38000000000001
2024-09-01,8,Organic,3,176.42
2024-09-01,9,Meta,2,138.31
2024-09-01,9,Organic,2,100.38
2024-09-01,9,Referral,1,22.21
2024-10-01,0,Google Ads,34,1371.1399999999999
2024-10-01,0,Meta,25,1043.5700000000002
2024-10-01,0,Organic,57,3209.3500000000004
2024-10-01,0,Referral,10,574.5
2024-10-01,1,Google Ads,7,451.29999999999995
2024-10-01,1,Meta,5,201.69
2024-10-01,1,Organic,13,411.68999999999994
2024-10-01,2,Google Ads,7,340.09999999999997
2024-10-01,2,Meta,4,125.19000000000001
2024-10-01,2,Organic,4,238.78
2024-10-01,2,Referral,1,17.32
2024-10-01,3,Google Ads,3,304.99
2024-10-01,3,Meta,4,255.19
2024-10-01,3,Organic,9,358.68999999999994
2024-10-01,3,Referral,2,112.27
2024-10-01,4,Google Ads,2,170.7
2024-10-01,4,Meta,1,16.12
2024-10-01,4,Organic,2,152.94
2024-10-01,4,Referral,1,24.04
2024-10-01,5,Google Ads,1,13.36
2024-10-01,5,Meta,2,68.19
2024-10-01,5,Organic,6,208.79
2024-10-01,6,Google Ads,1,41.03
2024-10-01,6,Meta,1,156.29
2024-10-01,6,Organic,1,43.69
2024-10-01,7,Google Ads,3,204.64
2024-10-01,7,Meta,2,152.44
2024-10-01,7,Organic,1,72.55
2024-10-01,8,Organic,3,115.00000000000001
2024-10-01,10,Google Ads,1,29.2
2024-10-01,11,Google Ads,1,6.69
2024-10-01,11,Meta,1,79.1
2024-10-01,13,Google Ads,1,28.11
2024-11-01,0,Google Ads,30,1948.3100000000002
2024-11-01,0,Meta,26,898.8199999999998
2024-11-01,0,Organic,45,2268.31
2024-11-01,0,Referral,6,290.21
2024-11-01,1,Google Ads,6,481.57
2024-11-01,1,Meta,5,437.92999999999995
2024-11-01,1,Organic,12,545.31
2024-11-01,1,Referral,1,32.87
2024-11-01,2,Google Ads,5,187.42999999999998
2024-11-01,2,Meta,8,550.8799999999999
2024-11-01,2,Organic,11,346.01000000000005
2024-11-01,3,Google Ads,5,355.37
2024-11-01,3,Meta,1,34.65
2024-11-01,3,Organic,5,409.63
2024-11-01,3,Referral,2,257.32
2024-11-01,4,Google Ads,3,76.7
2024-11-01,4,Meta,2,55.120000000000005
2024-11-01,4,Organic,6,395.29999999999995
2024-11-01,4,Referral,3,218.13
2024-11-01,5,Google Ads,2,108.56
2024-11-01,5,Meta,3,320.63
2024-11-01,5,Organic,6,416.97
2024-11-01,5,Referral,1,23.72
2024-11-01,6,Google Ads,1,21.33
2024-11-01,6,Meta,1,55.73
2024-11-01,6,Organic,5,200.63
2024-11-01,7,Meta,2,97.57
2024-11-01,7,Organic,2,82.63
2024-11-01,8,Meta,1,30.88
2024-11-01,8,Organic,2,84.61
2024-11-01,9,Meta,1,123.15
2024-12-01,0,Google Ads,45,2481.2400000000002
2024-12-01,0,Meta,28,1681.2800000000002
2024-12-01,0,Organic,53,2773.6999999999994
2024-12-01,0,Referral,6,426.96000000000004
2024-12-01,1,Google Ads,11,701.01
2024-12-01,1,Meta,5,211.76
2024-12-01,1,Organic,15,712.6400000000001
2024-12-01,1,Referral,2,83.38
2024-12-01,2,Google Ads,10,451.9
2024-12-01,2,Meta,3,336.61000000000007
2024-12-01,2,Organic,5,142.86
2024-12-01,3,Google Ads,5,321.98
2024-12-01,3,Meta,1,19.01
2024-12-01,3,Organic,7,618.5400000000001
2024-12-01,3,Referral,1,15.96
2024-12-01,4,Google Ads,4,469.90000000000003
2024-12-01,4,Meta,1,6.91
2024-12-01,4,Organic,4,523.54
2024-12-01,5,Google Ads,3,182.65000000000003
2024-12-01,5,Organic,5,258.57
2024-12-01,6,Google Ads,1,68.3
2024-12-01,6,Organic,5,298.88
2024-12-01,7,Organic,4,344.45
2024-12-01,8,Google Ads,1,59.18
2024-12-01,8,Organic,3,283.85
2024-12-01,9,Organic,1,55.06
2024-12-01,10,Google Ads,1,21.05
2024-12-01,10,Organic,1,27.29
2024-12-01,11,Google Ads,1,60.61
2025-01-01,0,Google Ads,49,2003.5699999999997
2025-01-01,0,Meta,32,1480.73
2025-01-01,0,Organic,42,1792.2500000000002
2025-01-01,0,Referral,10,563.88
2025-01-01,1,Google Ads,13,805.0400000000001
2025-01-01,1,Meta,6,284.76000000000005
2025-01-01,1,Organic,4,132.45
2025-01-01,1,Referral,1,84.36
2025-01-01,2,Google Ads,7,170.44
2025-01-01,2,Meta,7,362.91999999999996
2025-01-01,2,Organic,5,394.57000000000005
2025-01-01,2,Referral,2,67.84
2025-01-01,3,Google Ads,3,183.12
2025-01-01,3,Meta,6,298.48
2025-01-01,3,Organic,3,142.12
2025-01-01,3,Referral,2,395.23999999999995
2025-01-01,4,Google Ads,4,182.43
2025-01-01,4,Meta,4,121.66000000000001
2025-01-01,4,Organic,2,28.310000000000002
2025-01-01,4,Referral,1,10.66
2025-01-01,5,Google Ads,1,19.56
2025-01-01,5,Meta,3,71.22
2025-01-01,5,Organic,3,212.98
2025-01-01,5,Referral,2,44.99
2025-01-01,6,Google Ads,3,133.82
2025-01-01,6,Meta,5,144.87
2025-01-01,6,Organic,4,122.41
2025-01-01,7,Google Ads,2,60.42
2025-01-01,7,Meta,1,29.3
2025-01-01,7,Organic,3,223.89
2025-01-01,8,Google Ads,2,264.40000000000003
2025-01-01,8,Meta,2,221.86
2025-01-01,8,Organic,1,46.42
2025-01-01,9,Google Ads,1,57.9
2025-01-01,9,Meta,2,87.4
2025-01-01,11,Google Ads,1,244.32
2025-01-01,11,Organic,1,70.29
2025-02-01,0,Google Ads,36,1816.4499999999998
2025-02-01,0,Meta,27,1100.7500000000002
2025-02-01,0,Organic,38,1928.0200000000002
2025-02-01,0,Referral,12,602.26
2025-02-01,1,Google Ads,8,306.90000000000003
2025-02-01,1,Meta,5,209.87000000000003
2025-02-01,1,Organic,10,890.98
2025-02-01,2,Google Ads,5,297.96000000000004
2025-02-01,2,Meta,4,229.27
2025-02-01,2,Organic,5,315.43999999999994
2025-02-01,3,Google Ads,4,448.89
2025-02-01,3,Meta,4,230.13000000000002
2025-02-01,3,Organic,3,145.07999999999998
2025-02-01,3,Referral,2,147.43
2025-02-01,4,Google Ads,5,163.95
2025-02-01,4,Meta,2,251.38
2025-02-01,4,Organic,3,138.70000000000002
2025-02-01,4,Referral,1,4.35
2025-02-01,5,Google Ads,1,96.81
2025-02-01,5,Meta,4,109.38
2025-02-01,5,Organic,1,6.06
2025-02-01,6,Meta,1,16.38
2025-02-01,6,Organic,1,108.88000000000001
2025-02-01,7,Google Ads,2,160.76
2025-02-01,7,Meta,2,41.58
2025-02-01,7,Organic,1,49.01
2025-02-01,8,Google Ads,1,15.8
2025-02-01,9,Meta,1,44.18
2025-02-01,10,Google Ads,1,10.69
2025-02-01,10,Meta,1,20.33
2025-03-01,0,Google Ads,29,1825.7300000000005
2025-03-01,0,Meta,23,901.7900000000002
2025-03-01,0,Organic,47,2519.5699999999997
2025-03-01,0,Referral,13,555.5600000000001
2025-03-01,1,Google Ads,6,189.04
2025-03-01,1,Meta,8,606.0400000000001
2025-03-01,1,Organic,12,475.69999999999993
2025-03-01,1,Referral,3,228.91
2025-03-01,2,Google Ads,5,332.22999999999996
2025-03-01,2,Meta,5,339.27000000000004
2025-03-01,2,Organic,5,286.25
2025-03-01,2,Referral,5,391.08000000000004
2025-03-01,3,Google Ads,4,110.41
2025-03-01,3,Meta,5,234.32999999999998
2025-03-01,3,Organic,6,326.11
2025-03-01,3,Referral,3,263.87
2025-03-01,4,Google Ads,2,59.129999999999995
2025-03-01,4,Meta,4,149.84
2025-03-01,4,Organic,3,88.97
2025-03-01,4,Referral,3,166.75
2025-03-01,5,Organic,2,166.86
2025-03-01,5,Referral,1,26.99
2025-03-01,6,Google Ads,2,113.44999999999999
2025-03-01,6,Organic,1,152.72
2025-03-01,6,Referral,2,265.70000000000005
2025-03-01,7,Meta,1,27.15
2025-03-01,7,Organic,2,71.87
2025-03-01,7,Referral,1,143.81
2025-03-01,8,Meta,2,58.86
2025-03-01,8,Organic,1,47.09
2025-03-01,8,Referral,1,68.9
2025-03-01,9,Meta,1,68.75
2025-03-01,9,Referral,1,21.72
2025-04-01,0,Google Ads,38,2457.150000000001
2025-04-01,0,Meta,29,1313.71
2025-04-01,0,Organic,37,1783.2499999999998
2025-04-01,0,Referral,14,757.5800000000002
2025-04-01,1,Google Ads,10,576.43
2025-04-01,1,Meta,6,570.44
2025-04-01,1,Organic,10,600.3700000000001
2025-04-01,1,Referral,1,28.26
2025-04-01,2,Google Ads,6,270.78000000000003
2025-04-01,2,Meta,9,280.58
2025-04-01,2,Organic,3,339.06
2025-04-01,2,Referral,6,359.87999999999994
2025-04-01,3,Google Ads,4,151.28
2025-04-01,3,Meta,3,226.57999999999998
2025-04-01,3,Organic,1,43.36
2025-04-01,3,Referral,4,156.71
2025-04-01,4,Google Ads,5,203.85999999999999
2025-04-01,4,Meta,1,16.6
2025-04-01,4,Organic,4,162.2
2025-04-01,4,Referral,1,41.53
2025-04-01,5,Google Ads,4,197.71999999999997
2025-04-01,5,Meta,3,113.39
2025-04-01,5,Organic,2,167.83
2025-04-01,5,Referral,1,30.91
2025-04-01,6,Google Ads,4,123.85
2025-04-01,6,Meta,2,146.98
2025-04-01,6,Organic,1,54.400000000000006
2025-04-01,6,Referral,3,43.239999999999995
2025-04-01,7,Google Ads,4,203.67
2025-04-01,8,Google Ads,1,25.27
2025-04-01,8,Referral,2,98.33
2025-05-01,0,Google Ads,42,2237.11
2025-05-01,0,Meta,23,1418.8
2025-05-01,0,Organic,55,2748.35
2025-05-01,0,Referral,17,1064.1299999999999
2025-05-01,1,Google Ads,5,490.6
2025-05-01,1,Meta,5,249.84999999999997
2025-05-01,1,Organic,11,426.43999999999994
2025-05-01,1,Referral,5,333.23
2025-05-01,2,Google Ads,10,300.42
2025-05-01,2,Meta,1,20.39
2025-05-01,2,Organic,9,429.93
2025-05-01,2,Referral,4,242.52999999999997
2025-05-01,3,Google Ads,5,403.96
2025-05-01,3,Organic,8,282.2
2025-05-01,3,Referral,3,160.52
2025-05-01,4,Google Ads,3,81.41999999999999
2025-05-01,4,Organic,5,178.0
2025-05-01,5,Google Ads,2,44.82
2025-05-01,5,Meta,3,109.75000000000001
2025-05-01,5,Organic,3,179.90000000000003
2025-05-01,5,Referral,1,22.22
2025-05-01,6,Google Ads,1,46.57
2025-05-01,6,Meta,3,139.22
2025-05-01,6,Organic,4,62.08
2025-05-01,6,Referral,1,54.86
2025-05-01,7,Organic,1,45.26
2025-06-01,0,Google Ads,47,1920.0599999999997
2025-06-01,0,Meta,18,1083.8199999999997
2025-06-01,0,Organic,38,1565.31
2025-06-01,0,Referral,7,749.9800000000001
2025-06-01,1,Google Ads,12,682.9000000000001
2025-06-01,1,Meta,5,391.79
2025-06-01,1,Organic,7,274.75999999999993
2025-06-01,1,Referral,3,200.99
2025-06-01,2,Google Ads,4,265.75
2025-06-01,2,Meta,2,70.18
2025-06-01,2,Organic,10,415.43
2025-06-01,2,Referral,2,173.0
2025-06-01,3,Google Ads,4,217.09
2025-06-01,3,Meta,2,78.15
2025-06-01,3,Organic,2,139.36
2025-06-01,3,Referral,2,130.35
2025-06-01,4,Google Ads,5,280.46
2025-06-01,4,Organic,3,64.96
2025-06-01,5,Google Ads,1,11.86
2025-06-01,5,Meta,2,35.26
2025-06-01,5,Organic,2,266.5
2025-06-01,6,Google Ads,1,17.12
2025-06-01,6,Meta,1,39.989999999999995
2025-06-01,6,Organic,1,23.57
2025-07-01,0,Google Ads,42,2559.4000000000005
2025-07-01,0,Meta,33,1910.9400000000005
2025-07-01,0,Organic,48,2111.38
2025-07-01,0,Referral,9,580.4300000000001
2025-07-01,1,Google Ads,4,105.52
2025-07-01,1,Meta,7,187.98999999999998
2025-07-01,1,Organic,14,782.88
2025-07-01,2,Google Ads,6,377.17
2025-07-01,2,Meta,3,434.27
2025-07-01,2,Organic,9,669.72
2025-07-01,2,Referral,1,12.49
2025-07-01,3,Google Ads,4,237.85999999999999
2025-07-01,3,Meta,4,225.72
2025-07-01,3,Organic,7,207.95000000000002
2025-07-01,3,Referral,2,176.10999999999999
2025-07-01,4,Google Ads,3,203.39999999999998
2025-07-01,4,Meta,2,66.34
2025-07-01,4,Organic,4,177.59
2025-07-01,5,Google Ads,3,164.6
2025-07-01,5,Meta,1,34.22
2025-07-01,5,Organic,4,58.510000000000005
2025-08-01,0,Google Ads,31,1877.27
2025-08-01,0,Meta,26,1560.2500000000002
2025-08-01,0,Organic,53,2770.149999999999
2025-08-01,0,Referral,5,230.04
2025-08-01,1,Google Ads,8,342.5
2025-08-01,1,Meta,7,291.57
2025-08-01,1,Organic,11,523.36
2025-08-01,1,Referral,1,31.8
2025-08-01,2,Google Ads,5,212.86
2025-08-01,2,Meta,3,113.8
2025-08-01,2,Organic,8,343.52
2025-08-01,2,Referral,1,5.08
2025-08-01,3,Google Ads,3,121.49999999999999
2025-08-01,3,Meta,3,162.08
2025-08-01,3,Organic,5,251.80999999999997
2025-08-01,4,Google Ads,3,191.93
2025-08-01,4,Meta,2,147.36
2025-08-01,4,Organic,3,213.17
2025-08-01,4,Referral,1,67.06
2025-09-01,0,Google Ads,44,2083.9399999999996
2025-09-01,0,Meta,34,1932.6700000000003
2025-09-01,0,Organic,39,1687.8700000000001
2025-09-01,0,Referral,10,473.7199999999999
2025-09-01,1,Google Ads,12,570.6700000000001
2025-09-01,1,Meta,8,404.17999999999995
2025-09-01,1,Organic,11,951.8499999999999
2025-09-01,1,Referral,2,65.64
2025-09-01,2,Google Ads,8,411.59999999999997
2025-09-01,2,Meta,5,344.84000000000003
2025-09-01,2,Organic,4,205.77999999999997
2025-09-01,2,Referral,1,21.45
2025-09-01,3,Google Ads,4,255.09
2025-09-01,3,Meta,4,296.96000000000004
2025-09-01,3,Organic,4,275.99
2025-10-01,0,Google Ads,51,2607.31
2025-10-01,0,Meta,24,1320.7
2025-10-01,0,Organic,62,3006.55
2025-10-01,0,Referral,16,690.14
2025-10-01,1,Google Ads,7,310.8
2025-10-01,1,Meta,3,93.35000000000001
2025-10-01,1,Organic,12,770.64
2025-10-01,1,Referral,2,94.39000000000001
2025-10-01,2,Google Ads,10,441.32
2025-10-01,2,Meta,4,454.78
2025-10-01,2,Organic,7,268.71000000000004
2025-10-01,2,Referral,3,141.77
2025-11-01,0,Google Ads,35,1558.51
2025-11-01,0,Meta,32,1843.67
2025-11-01,0,Organic,51,2929.2999999999997
2025-11-01,0,Referral,12,597.89
2025-11-01,1,Google Ads,6,218.88
2025-11-01,1,Meta,4,62.61
2025-11-01,1,Organic,9,427.76
2025-11-01,1,Referral,2,125.67
2025-12-01,0,Google Ads,33,1449.1300000000003
2025-12-01,0,Meta,21,1290.7799999999997
2025-12-01,0,Organic,43,2948.91
2025-12-01,0,Referral,10,566.27
